HSC,MPP,CMP,GMP,MEP,Erythrocytes,Megakaryocytes,Platelets,B-cells,CD4 T-cells,CD8 T-cells,NK cells,Basophils,Eosinophils,Neutrophils,CD14 Monocytes,CD16 Monocytes,Macrophages,DC,cDC,pDC
,,,UBA3,,,,LCN1,MYOT,PLXDC1,SDAD1,,,,,MYO1F,,ITGAX,,,
,,,UBB,,,,LEFTY1,P2RY10,SNPH,SHANK1,,,,,NUP214,,KCNJ1,,,
,,,UFC1,,,,LIMS1,PHKB,TNFRSF4,TBCC,,,,,PGLS,,TGOLN2,,,
,,,UMPS,,,,LPAR4,POU2F2,WBP11,TTN,,,,,PILRA,,TMEM33,,,
,,,VPS54,,,,LRTM1,PRDM4,,USP47,,,,,PTGIR,,ZDHHC24,,,
,,,WDR12,,,,LSM1,RECQL5,,YLPM1,,,,,RHOT1,,42988,,,
,,,ARHGAP6,,,,MAN2A2,RNGTT,,ZBTB11,,,,,SH3BP2,,AGPS,,,
,,,B3GNT4,,,,MAX,S1PR2,,ZC3HAV1,,,,,TLR8,,ALCAM,,,
,,,BMS1,,,,MEA1,SIPA1L3,,ZNF154,,,,,TNFRSF8,,ARL8B,,,
,,,CD33,,,,MORC1,SLC30A4,,,,,,,TREX1,,ARPC4,,,
,,,CLP1,,,,MPL,SYPL1,,,,,,,TSPO,,ATP2C1,,,
,,,CNOT8,,,,MYOM1,TCL6,,,,,,,AGFG1,,ATP6V0E1,,,
,,,CXorf21,,,,NCKIPSD,TERT,,,,,,,AHNAK,,ATP6V1C1,,,
,,,DDX27,,,,NCOA4,TRAF3,,,,,,,AKAP13,,ATP6V1D,,,
,,,DHX9,,,,NEK4,WDR11,,,,,,,ANKS1A,,BPI,,,
,,,DNAJC7,,,,NPPA,,,,,,,,ANXA1,,C1QA,,,
,,,ENOSF1,,,,NXF3,,,,,,,,ATG3,,CCL8,,,
,,,ERCC3,,,,PANK2,,,,,,,,BEST1,,CD164,,,
,,,FOXI1,,,,PARK7,,,,,,,,BPI,,CD48,,,
,,,GABPA,,,,PCDHGA1,,,,,,,,BTK,,CD9,,,
,,,GPR3,,,,PCDHGB5,,,,,,,,CALCOCO2,,CETN2,,,
,,,H3F3B,,,,PCTP,,,,,,,,CAMKK2,,CIAO1,,,
,,,HNRNPA2B1,,,,PDE6A,,,,,,,,CAPN3,,CIR1,,,
,,,HPGDS,,,,PHKB,,,,,,,,CARS2,,CNIH4,,,
,,,INSL3,,,,PITX3,,,,,,,,CAST,,COMMD9,,,
,,,IQSEC3,,,,PPM1A,,,,,,,,CD4,,COX15,,,
,,,ITGA9,,,,PPY,,,,,,,,CEACAM4,,CRYBB1,,,
,,,LAMB4,,,,PRKCG,,,,,,,,CLEC3B,,DBI,,,
,,,LAS1L,,,,PTCRA,,,,,,,,CLEC4E,,DERA,,,
,,,LPO,,,,PTPRA,,,,,,,,COQ2,,ECHS1,,,
,,,LUC7L3,,,,RAB8A,,,,,,,,CTBP2,,EFR3A,,,
,,,LUZP1,,,,RABGEF1,,,,,,,,CX3CR1,,ELOVL1,,,
,,,MRPL9,,,,RAX,,,,,,,,DHX8,,EMILIN1,,,
,,,MUL1,,,,RDH11,,,,,,,,DOK2,,ERP29,,,
,,,NCL,,,,RGS6,,,,,,,,EIF4E2,,FCER1G,,,
,,,NCOA4,,,,RNF11,,,,,,,,FGL2,,FOLR2,,,
,,,NCOR1,,,,RNF186,,,,,,,,GABARAP,,FPR3,,,
,,,NGLY1,,,,RNF2,,,,,,,,GIT2,,FTL,,,
,,,OMD,,,,RNF8,,,,,,,,LTBR,,G6PC3,,,
,,,POU2F1,,,,RPA1,,,,,,,,LY86,,GLRX2,,,
,,,PRKG2,,,,RUFY1,,,,,,,,LYL1,,GSTO1,,,
,,,PRTN3,,,,SIX6,,,,,,,,MAP3K3,,GUF1,,,
,,,RBM25,,,,SLC6A4,,,,,,,,MAPK14,,HS3ST2,,,
,,,RNF220,,,,SMAD2,,,,,,,,MARCO,,IGSF6,,,
,,,RPL15,,,,SNPH,,,,,,,,MTMR14,,KCNJ5,,,
,,,RPRD2,,,,SNX3,,,,,,,,NDST2,,LILRB5,,,
,,,SELP,,,,ST7,,,,,,,,OGFR,,LONP1,,,
,,,SERPINI2,,,,SYNPO2L,,,,,,,,PCTP,,LY86,,,
,,,SLC5A5,,,,TACR2,,,,,,,,PLP2,,M6PR,,,
,,,SMG7,,,,TAL1,,,,,,,,PPM1F,,MAPKAP1,,,
,,,SMNDC1,,,,TAOK3,,,,,,,,PRKACA,,MGST3,,,
,,,STXBP3,,,,TECPR2,,,,,,,,PSTPIP1,,MLX,,,
,,,SUPV3L1,,,,TG,,,,,,,,PTEN,,NDUFA8,,,
,,,SUV39H1,,,,TLK1,,,,,,,,PTPN18,,NDUFAF1,,,
